,번호,내용,태그
0,1," 한국관광공사 추천 7월 걷기여행길, 아름다운 여름의 정취를 물씬 느낄 수 있는 길 ",#한국관광6선#걷기여행길#걷기여행#여름방학가볼만한곳#여름#휴가#풀향기#바다내음#힐링#휴양여행#힐링여행#포천가볼만한곳#주상절리길#한탄강#비둘기낭폭포#한탄강하늘다리#비둘기낭순환코스#곡성가볼만한곳#섬진강둘레길#마천목장군길#트레킹코스#금산가볼만한곳#솔바람길#진천가볼만한곳#진천초롱길#진천농다리#창원가볼만한곳#봉암수원지둘레길#동해가볼만한곳#논골담길#전망대#산책코스#산책로 
1,2, 여름방학 가족 여행지 추천. 안동 여행 당일치기 코스! ,#화천서원#하회마을#안동#안동가볼만한곳#가족여행#여름방학#여름휴가#월영교#병산서원#도산서원 
2,3," “얘들아, 올 여름엔 시골 외갓집에서 놀자~” ",#용인가볼만한곳#아이와함께#이색체험#추억여행#여름방학#힐링#가족여행#용인맛집#한국민속촌#여름축제 
3,4," 숲과 바다에 설레는 여름, 울산 중구&동구 ",#2017#열린관광지#장애인추천코스#울산가볼만한곳#무장애여행#십리대숲#태화강대공원#추억의이야기로#큰애기야시장#대왕암공원#일산해수욕장#울산소리체험관#슬도#울산대교전망대#울산1박2일코스#울산당일코스#7월가볼만한곳#여름휴가#여름휴가지추천 
4,5, 올 여름 무더위는 강원도의 시원한 트래킹으로 이기자. ,#하이원추추파크#미인폭포#덕풍계곡트레킹#조깅#등산로#테마파크#여름방학#강원권#자연좋은곳#트래킹#여름휴가#당일코스#1박2일#2박3일 
5,6," 한국관광공사 추천 8월 걷기여행길, 여름의 정취를 느끼러 가는 길 ",#속초가볼만한곳#걷기여행길#설악누리길#홍천가볼만한곳#수타사산소길#김천가볼만한곳#인현왕후길#성주가볼만한곳#보령가볼만한곳#삽시도둘레길#남해가볼만한곳#앵강다숲길#트레킹#레포츠#여름방학가볼만한곳#힐링여행#휴양여행#힐링#트레킹코스#바다#바다풍경#산책코스#산책로#걷기여행#칠선용성간숲길#한국관광6선#여름#무더위#산바람#바닷바람#8월가볼만한곳 
6,7, [서울] 여름에 더 돋보이는 서울 여행자의 방 ,#한국관광품질인증#여행기사#여행자의방#추천숙박#혜화1938#서머셋펠리스서울#어반플레이스강남#르와지르호텔서울명동#게스트하우스서울삼촌#서울#가족#인증숙소#서울숙소#우수숙소#여름휴가_미리보기#8월가볼만한곳 
7,8," 가족여행에 최적화된 여름 휴가지, 고창 동호해수욕장 ",#고창가볼만한곳#동호해수욕장#피서여행#물놀이#캠핑장#여름휴가#갯벌체험#백사장#고인돌#세계유산#고창고인돌박물관 
8,9, 땅굴 속의 찬바람 보령시 냉풍욕장에서 시원한 여름을~ ,#보령냉풍욕장#평강뜰애#성주계곡#백운사#연인과함께#데이트코스#나홀로여행#힐링#여름여행#여름휴가#조깅#자연좋은곳#당일코스#1박2일#2박3일#추천코스 
9,10," 열(熱)이냐 냉(冷)이냐, 여름 더위 물리는 맛 대 맛 (1) 이열치열 닭요리 ",#서울가볼만한곳#서울맛집#국수맛집#미식여행#여름제철음식#호수삼계탕#토속촌#지호한방삼계탕#성너머집#진남포면옥#원기회복_맛대맛 
